"Vintage","Location","Variety","R1_WS","R2_WE","R3_WA","Avg_Rank","var_prcp_avg_phen_1","var_prcp_avg_phen_2","var_prcp_avg_phen_3","var_gdd_avg_phen_1","var_gdd_avg_phen_2","var_gdd_avg_phen_3","Descriptions_WS_WA","Notes"
2004,"North Coast","Zinfandel",NA,NA,82,82,15.2,0.65,0,302.025,683.133333333333,657.197916666667,"I",NA
2005,"North Coast","Zinfandel",NA,NA,78,78,93.39,57.7,0,209.4,699.625,568.2625,"I",NA
2006,"North Coast","Zinfandel",NA,NA,79,79,150.5,23.1,0,248.8,760.458333333333,584.45,"I",NA
2007,"North Coast","Zinfandel",NA,NA,88,88,41.4,1.55,0,282.2125,715,633.2625,"R",NA
2008,"North Coast","Zinfandel",NA,NA,78,78,4.3,4.2,0,252.125,731.825,645.375,"I",NA
2009,"North Coast","Zinfandel",NA,NA,85,85,70.8,0.65,1.95,254.1375,689.685,537.6,"I",NA
2010,"North Coast","Zinfandel",NA,NA,90,90,127.05,36.05,0,186.1,628.7,535.8125,"R",NA
2011,"North Coast","Zinfandel",NA,NA,74,74,25.6833333333333,122.6575,0,229.275,597.325,562.725,"I",NA
2012,"North Coast","Zinfandel",NA,NA,92,92,75.1735714285714,4.11666666666667,0,273.025,668.5,583.275,"R",NA
2013,"North Coast","Zinfandel",NA,NA,92,92,30.75,22.35,0,366.325,738.225,600.775,"R",NA
2014,"North Coast","Zinfandel",NA,NA,93,93,53.95,0,0.8,315.3125,750.4,656,"R",NA
2015,"North Coast","Zinfandel",NA,NA,90,90,45.9,3.6,0.15,255,728.725,685.725,"I",NA
2016,"North Coast","Zinfandel",NA,NA,93,93,35.7,3.95,0,310.925,722.45,572.025,"R",NA
2017,"North Coast","Zinfandel",NA,NA,92,92,65.7,12.6,1.5,262.05,783.675,709.825,"R",NA
