"","dailyPrTempNapa","date"
"357",0.269214935805819,"X1980.12.22"
"358",0,"X1980.12.23"
"359",0,"X1980.12.24"
"360",0,"X1980.12.25"
"361",0,"X1980.12.26"
"362",0,"X1980.12.27"
"363",0,"X1980.12.28"
"364",0,"X1980.12.29"
"365",0,"X1980.12.30"
"366",0,"X1981.01.01"
"367",2.97548563931342,"X1981.01.02"
"368",4.33497115504851,"X1981.01.03"
"369",0.0458089706547763,"X1981.01.04"
"370",0,"X1981.01.05"
"371",0,"X1981.01.06"
"372",0,"X1981.01.07"
"373",0,"X1981.01.08"
"374",0,"X1981.01.09"
"375",0,"X1981.01.10"
"376",0,"X1981.01.11"
"377",0,"X1981.01.12"
"378",0,"X1981.01.13"
"379",0,"X1981.01.14"
"380",4.91214520012567,"X1981.01.15"
"381",5.85161847915124,"X1981.01.16"
"382",3.46409471811505,"X1981.01.17"
"383",0.96886778991977,"X1981.01.18"
"384",10.5045350779087,"X1981.01.19"
"385",3.5733427000702,"X1981.01.20"
"386",9.64018282184907,"X1981.01.21"
"387",32.4927901434242,"X1981.01.22"
"388",7.66778694817779,"X1981.01.23"
"389",0,"X1981.01.24"
"390",8.22110735495156,"X1981.01.25"
"391",36.8372579452095,"X1981.01.26"
"392",48.9649313742961,"X1981.01.27"
"393",30.5868460453978,"X1981.01.28"
"394",13.0452809384383,"X1981.01.29"
"395",0,"X1981.01.30"
"396",0,"X1981.01.31"
"397",0,"X1981.02.01"
"398",0,"X1981.02.02"
"399",0,"X1981.02.03"
"400",0,"X1981.02.04"
"401",0,"X1981.02.05"
"402",0,"X1981.02.06"
"403",0,"X1981.02.07"
"404",2.06143430340181,"X1981.02.08"
"405",0.00730187404012188,"X1981.02.09"
"406",2.90748773692945,"X1981.02.10"
"407",1.85826305730627,"X1981.02.11"
"408",6.07608751856953,"X1981.02.12"
"409",19.9084970972954,"X1981.02.13"
"410",1.3847710381544,"X1981.02.14"
"411",0,"X1981.02.15"
"412",0.140946099297528,"X1981.02.16"
"413",0,"X1981.02.17"
"414",0,"X1981.02.18"
"415",0,"X1981.02.19"
"416",0,"X1981.02.20"
"417",0,"X1981.02.21"
"418",0,"X1981.02.22"
"419",8.13963849227363,"X1981.02.23"
"420",10.3440965326554,"X1981.02.24"
"421",2.67641861340322,"X1981.02.25"
"422",5.53902324678701,"X1981.02.26"
"423",0.969280555434183,"X1981.02.27"
"424",4.7427619843308,"X1981.02.28"
"425",1.64330012207731,"X1981.03.01"
"426",0,"X1981.03.02"
"427",8.27236735520013,"X1981.03.03"
"428",5.30393028532693,"X1981.03.04"
"429",0.0712009463672859,"X1981.03.05"
"430",0,"X1981.03.06"
"431",0,"X1981.03.07"
"432",0,"X1981.03.08"
"433",0,"X1981.03.09"
"434",0,"X1981.03.10"
"435",0,"X1981.03.11"
"436",0,"X1981.03.12"
"437",0.539433546748798,"X1981.03.13"
