Vintage,Location,Variety,R1_WS,R2_WE,R3_WA,Avg_Rank,Descriptions_WS_WA,Notes
2003,Napa,Rhône-Style Reds,90,,,90,,
2002,Napa,Rhône-Style Reds,96,,,96,,
2001,Napa,Rhône-Style Reds,97,,,97,,
2000,Napa,Rhône-Style Reds,93,,,93,,
2017,Sonoma,Rhône-Style Reds,89.5,,,89.5,,"WS_Napa, 88-91 (value is mean), WE_Sonoma, 88-91 (value is mean)"
2016,Sonoma,Rhône-Style Reds,93,,,93,,
2015,Sonoma,Rhône-Style Reds,94,,,94,,
2014,Sonoma,Rhône-Style Reds,94,,,94,,
2013,Sonoma,Rhône-Style Reds,93,,,93,,
2012,Sonoma,Rhône-Style Reds,92,,,92,,
2011,Sonoma,Rhône-Style Reds,87,,,87,,
2010,Sonoma,Rhône-Style Reds,93,,,93,,
2009,Sonoma,Rhône-Style Reds,93,,,93,,
2008,Sonoma,Rhône-Style Reds,91,,,91,,
2007,Sonoma,Rhône-Style Reds,92,,,92,,
2006,Sonoma,Rhône-Style Reds,95,,,95,,
2005,Sonoma,Rhône-Style Reds,87,,,87,,
2004,Sonoma,Rhône-Style Reds,89,,,89,,
2003,Sonoma,Rhône-Style Reds,90,,,90,,
2002,Sonoma,Rhône-Style Reds,89,,,89,,
2001,Sonoma,Rhône-Style Reds,89,,,89,,
2000,Sonoma,Rhône-Style Reds,87,,,87,,
2016,Napa,Merlot,94,,,94,Nearly ideal weather results in plush flavors and structures supported by medium-grained tannins,
2015,Napa,Merlot,91,,,91,"Small crop from another drought vintage; firmly tannic, with deep dark fruit and spice flavors",
2014,Napa,Merlot,92,,,92,Drought-influenced vintage yields well-structured wines with refined fruit flavors,
2013,Napa,Merlot,90,,,90,Sunny weather and a long growing season led to fruit-forward wines,
2012,Napa,Merlot,91,,,91,"Long, warm growing season produced rich, ripe and easy-drinking wines",
2011,Napa,Merlot,87,,,87,"Rainy and cool year; many wines have hard tannins, herbal flavors",
2010,Napa,Merlot,87,,,87,Extremely cool season; many wines are herbal and have unripe tannins,
2009,Napa,Merlot,94,,,94,"Ideal season; best wines show balance, structure and lively acidity",
2008,Napa,Merlot,89,,,89,Top producers made superior wines while others struggled in a cool year,
2007,Napa,Merlot,89,,,89,Supple and appealing wines from Napa; Sonoma offers value,
2006,Napa,Merlot,92,,,92,"Inconsistent; best are rich and supple, but many are lean and herbal",
2005,Napa,Merlot,89,,,89,"Top wines are elegant and well-focused, with ripeness achieved at lower alcohol levels",
2004,Napa,Merlot,87,,,87,"The best are supple, rich and complex; a step above the 2003s",
2003,Napa,Merlot,85,,,85,Tight and tannic wines; best to decant,
2002,Napa,Merlot,89,,,89,"About as good as it gets in Napa, with Sonoma lagging",
2001,Napa,Merlot,87,,,87,"Good, but not on par with '01 Cabernet",
2000,Napa,Merlot,83,,,83,Mixed in both regions,
1999,Napa,Merlot,87,,,87,One of the best for Napa; ordinary for Sonoma,
1998,Napa,Merlot,82,,,82,"Marked by lean, hollow wines",
1997,Napa,Merlot,86,,,86,"Ripe, opulent and supple wines",
1996,Napa,Merlot,88,,,88,"Best overall for Napa, with rich, structured wines",
2016,Sonoma,Merlot,91,,,91,,
2015,Sonoma,Merlot,88,,,88,,
2014,Sonoma,Merlot,89,,,89,,
2013,Sonoma,Merlot,88,,,88,,
2012,Sonoma,Merlot,89,,,89,,
2011,Sonoma,Merlot,83,,,83,,
2010,Sonoma,Merlot,84,,,84,,
2009,Sonoma,Merlot,86,,,86,,
2008,Sonoma,Merlot,85,,,85,,
2007,Sonoma,Merlot,85,,,85,,
2006,Sonoma,Merlot,85,,,85,,
2005,Sonoma,Merlot,89,,,89,,
2004,Sonoma,Merlot,88,,,88,,
2003,Sonoma,Merlot,80,,,80,,
2002,Sonoma,Merlot,81,,,81,,
2001,Sonoma,Merlot,83,,,83,,
2000,Sonoma,Merlot,80,,,80,,
1999,Sonoma,Merlot,81,,,81,,
1998,Sonoma,Merlot,79,,,79,,
1997,Sonoma,Merlot,86,,,86,,
1996,Sonoma,Merlot,82,,,82,,
2018,Sonoma,Zinfandel,94.5,,,94.5,,"WE_Sonoma, 93-96 (value is mean)"
2017,Sonoma,Zinfandel,91,,,91,,
2016,Sonoma,Zinfandel,95,,,95,,
2015,Sonoma,Zinfandel,94,,,94,,
2014,Sonoma,Zinfandel,94,,,94,,
2013,Sonoma,Zinfandel,92,,,92,,
2012,Sonoma,Zinfandel,91,,,91,,
2011,Sonoma,Zinfandel,88,,,88,,
2010,Sonoma,Zinfandel,88,,,88,,
2009,Sonoma,Zinfandel,92,,,92,,
2008,Sonoma,Zinfandel,93,,,93,,
2007,Sonoma,Zinfandel,91,,,91,,
2006,Sonoma,Zinfandel,90,,,90,,
2005,Sonoma,Zinfandel,89,,,89,,
2004,Sonoma,Zinfandel,86,,,86,,
2018,Napa,Zinfandel,90.5,90,,90.25,"Nearly ideal growing season, with generally rich and structured wines that are also consumer-friendly",
2017,Napa,Zinfandel,90,89,,89.5,Hot and unusually dry growing season led to wildfires in October; ripe wines with variable quality,
2016,Napa,Zinfandel,92,93,,92.5,"Akin to the 2015s, with the best showing polish and plush textures",
2015,Napa,Zinfandel,92,93,,92.5,Jammed with fruit; more concentrated and ageable than 2014,
2014,Napa,Zinfandel,93,93,,93,Fresh and fruit-forward but balanced and complex,
2013,Napa,Zinfandel,91,93,,92,Lively but concentrated wines with good structure built for long-term drinking,
2012,Napa,Zinfandel,89,92,,90.5,"Fruit-forward, soft and approachable",
2011,Napa,Zinfandel,89,89,,89,Variable quality; best wines are structured and vibrant,
2010,Napa,Zinfandel,88,89,,88.5,"Tough growing season; quality varies, but many flavorful, well-balanced wines",
2009,Napa,Zinfandel,92,89,,90.5,"Long, cool season; wines are balanced and elegant, with typically modest alcohol levels",
2008,Napa,Zinfandel,94,89,,91.5,"Eccentric growing season, but wines show surprising richness and balance",
2007,Napa,Zinfandel,92,94,,93,"Growing season was ideal; wines are supple and elegantly ripe, but with good backbone",
2006,Napa,Zinfandel,90,87,,88.5,"Top wines are fruit-forward, elegant and balanced; well-structured",
2005,Napa,Zinfandel,91,87,,89,"Complex, well-structured wines with tannins built for aging",
2004,Napa,Zinfandel,85,90,,87.5,Warm year produced jammy wines; ripeness often over the top,
2003,Napa,Zinfandel,,88,,,,
2002,Napa,Zinfandel,,86,,,,
2001,Napa,Zinfandel,,91,,,,
2000,Napa,Zinfandel,,85,,,,
1999,Napa,Zinfandel,,90,,,,
1998,Napa,Zinfandel,,85,,,,
1997,Napa,Zinfandel,,89,,,,
1996,Napa,Zinfandel,,88,,,,
1995,Napa,Zinfandel,,90,,,,
2017,North Coast,Cabernet ,,,86,,I,
2016,North Coast,Cabernet ,,,98,,T,
2015,North Coast,Cabernet ,,,97,,E,
2014,North Coast,Cabernet ,,,93,,R,
2013,North Coast,Cabernet ,,,98,,T,
2012,North Coast,Cabernet ,,,96,,E,
2011,North Coast,Cabernet ,,,82,,I,
2010,North Coast,Cabernet ,,,95,,T,
2009,North Coast,Cabernet ,,,94,,T,
2008,North Coast,Cabernet ,,,94,,T,
2007,North Coast,Cabernet ,,,96,,E,
2006,North Coast,Cabernet ,,,91,,E,
2005,North Coast,Cabernet ,,,95,,T,
2004,North Coast,Cabernet ,,,91,,R,
2003,North Coast,Cabernet ,,,92,,I,
2002,North Coast,Cabernet ,,,95,,E,
2001,North Coast,Cabernet ,,,96,,T,
2000,North Coast,Cabernet ,,,78,,C,
1999,North Coast,Cabernet ,,,88,,T,
1998,North Coast,Cabernet ,,,85,,R,
1997,North Coast,Cabernet ,,,94,,I,
1996,North Coast,Cabernet ,,,90,,T,
1995,North Coast,Cabernet ,,,94,,T,
1994,North Coast,Cabernet ,,,95,,E,
1993,North Coast,Cabernet ,,,90,,E,
1992,North Coast,Cabernet ,,,93,,R,
1991,North Coast,Cabernet ,,,94,,T,
1990,North Coast,Cabernet ,,,94,,E,
1989,North Coast,Cabernet ,,,84,,E,
1988,North Coast,Cabernet ,,,75,,E,
1987,North Coast,Cabernet ,,,90,,E,
1986,North Coast,Cabernet ,,,90,,R,
1985,North Coast,Cabernet ,,,90,,T,
1984,North Coast,Cabernet ,,,92,,R,
1983,North Coast,Cabernet ,,,76,,C,
1982,North Coast,Cabernet ,,,86,,R,
1981,North Coast,Cabernet ,,,85,,R,
1980,North Coast,Cabernet ,,,87,,R,
1979,North Coast,Cabernet ,,,80,,R,
1978,North Coast,Cabernet ,,,92,,R,
1977,North Coast,Cabernet ,,,,,,
1976,North Coast,Cabernet ,,,90,,T,
1975,North Coast,Cabernet ,,,85,,R,
1974,North Coast,Cabernet ,,,,,,
1973,North Coast,Cabernet ,,,,,,
1972,North Coast,Cabernet ,,,,,,
1971,North Coast,Cabernet ,,,70,,C,
1970,North Coast,Cabernet,,,92,,R,
2017,North Coast,Chardonnay,,,94,,E,
2016,North Coast,Chardonnay,,,94,,E,
2015,North Coast,Chardonnay,,,96,,E,
2014,North Coast,Chardonnay,,,94,,R,
2013,North Coast,Chardonnay,,,93,,R,
2012,North Coast,Chardonnay,,,94,,E,
2011,North Coast,Chardonnay,,,88,,I,
2010,North Coast,Chardonnay,,,91,,E,
2009,North Coast,Chardonnay,,,90,,R,
2008,North Coast,Chardonnay,,,88,,I,
2007,North Coast,Chardonnay,,,92,,R,
2006,North Coast,Chardonnay,,,87,,I,
2005,North Coast,Chardonnay,,,94,,E,
2004,North Coast,Chardonnay,,,92,,R,
2003,North Coast,Chardonnay,,,91,,R,
2002,North Coast,Chardonnay,,,90,,R,
2001,North Coast,Chardonnay,,,90,,C,
2000,North Coast,Chardonnay,,,87,,C,
1999,North Coast,Chardonnay,,,89,,R,
1998,North Coast,Chardonnay,,,89,,R,
1997,North Coast,Chardonnay,,,92,,C,
1996,North Coast,Chardonnay,,,87,,C,
1995,North Coast,Chardonnay,,,92,,C,
1994,North Coast,Chardonnay,,,88,,C,
1993,North Coast,Chardonnay,,,90,,C,
1992,North Coast,Chardonnay,,,92,,C,
1991,North Coast,Chardonnay,,,85,,C,
1990,North Coast,Chardonnay,,,90,,C,
1989,North Coast,Chardonnay,,,76,,C,
1988,North Coast,Chardonnay,,,89,,C,
1987,North Coast,Chardonnay,,,75,,C,
1986,North Coast,Chardonnay,,,90,,C,
1985,North Coast,Chardonnay,,,84,,C,
1984,North Coast,Chardonnay,,,88,,C,
1983,North Coast,Chardonnay,,,85,,C,
1982,North Coast,Chardonnay,,,85,,C,
1981,North Coast,Chardonnay,,,86,,C,
1980,North Coast,Chardonnay,,,88,,C,
1979,North Coast,Chardonnay,,,83,,C,
1978,North Coast,Chardonnay,,,86,,C,
1977,North Coast,Chardonnay,,,,,,
1976,North Coast,Chardonnay,,,80,,C,
1975,North Coast,Chardonnay,,,86,,C,
1974,North Coast,Chardonnay,,,,,,
1973,North Coast,Chardonnay,,,,,,
1972,North Coast,Chardonnay,,,,,,
1971,North Coast,Chardonnay,,,82,,C,
1970,North Coast,Chardonnay,,,83,,C,
2017,North Coast,Zinfandel,,,92,,R,
2016,North Coast,Zinfandel,,,93,,R,
2015,North Coast,Zinfandel,,,90,,I,
2014,North Coast,Zinfandel,,,93,,R,
2013,North Coast,Zinfandel,,,92,,R,
2012,North Coast,Zinfandel,,,92,,R,
2011,North Coast,Zinfandel,,,74,,I,
2010,North Coast,Zinfandel,,,90,,R,
2009,North Coast,Zinfandel,,,85,,I,
2008,North Coast,Zinfandel,,,78,,I,
2007,North Coast,Zinfandel,,,88,,R,
2006,North Coast,Zinfandel,,,79,,I,
2005,North Coast,Zinfandel,,,78,,I,
2004,North Coast,Zinfandel,,,82,,I,
2003,North Coast,Zinfandel,,,93,,R,
2002,North Coast,Zinfandel,,,85,,R,
2001,North Coast,Zinfandel,,,90,,R,
2000,North Coast,Zinfandel,,,83,,C,
1999,North Coast,Zinfandel,,,87,,C,
1998,North Coast,Zinfandel,,,86,,C,
1997,North Coast,Zinfandel,,,85,,C,
1996,North Coast,Zinfandel,,,89,,C,
1995,North Coast,Zinfandel,,,87,,C,
1994,North Coast,Zinfandel,,,92,,C,
1993,North Coast,Zinfandel,,,90,,C,
1992,North Coast,Zinfandel,,,90,,C,
1991,North Coast,Zinfandel,,,91,,C,
1990,North Coast,Zinfandel,,,91,,C,
1989,North Coast,Zinfandel,,,83,,C,
1988,North Coast,Zinfandel,,,82,,C,
1987,North Coast,Zinfandel,,,90,,C,
1986,North Coast,Zinfandel,,,87,,C,
1985,North Coast,Zinfandel,,,88,,C,
1984,North Coast,Zinfandel,,,88,,C,
1983,North Coast,Zinfandel,,,78,,C,
1982,North Coast,Zinfandel,,,80,,C,
1981,North Coast,Zinfandel,,,82,,C,
1980,North Coast,Zinfandel,,,82,,C,
1979,North Coast,Zinfandel,,,83,,C,
1978,North Coast,Zinfandel,,,86,,C,
1977,North Coast,Zinfandel,,,,,,
1976,North Coast,Zinfandel,,,87,,C,
1975,North Coast,Zinfandel,,,80,,C,
1974,North Coast,Zinfandel,,,,,,
1973,North Coast,Zinfandel,,,,,,
1972,North Coast,Zinfandel,,,,,,
1971,North Coast,Zinfandel,,,60,,C,
1970,North Coast,Zinfandel,,,89,,C,
