"Vintage","Location","Variety","R1_WS","R2_WE","R3_WA","Avg_Rank","var_prcp_avg_year","var_gdd_avg_year","Descriptions_WS_WA","Notes"
2005,"North Coast","Zinfandel",NA,NA,78,78,151.09,1477.2875,"I",NA
2006,"North Coast","Zinfandel",NA,NA,79,79,173.6,1593.70833333333,"I",NA
2007,"North Coast","Zinfandel",NA,NA,88,88,42.95,1630.475,"R",NA
2008,"North Coast","Zinfandel",NA,NA,78,78,8.5,1629.325,"I",NA
2009,"North Coast","Zinfandel",NA,NA,85,85,73.4,1481.4225,"I",NA
2010,"North Coast","Zinfandel",NA,NA,90,90,163.1,1350.6125,"R",NA
2011,"North Coast","Zinfandel",NA,NA,74,74,148.340833333333,1389.325,"I",NA
2012,"North Coast","Zinfandel",NA,NA,92,92,79.2902380952381,1524.8,"R",NA
2013,"North Coast","Zinfandel",NA,NA,92,92,53.1,1705.325,"R",NA
2014,"North Coast","Zinfandel",NA,NA,93,93,54.75,1721.7125,"R",NA
2015,"North Coast","Zinfandel",NA,NA,90,90,49.65,1669.45,"I",NA
2016,"North Coast","Zinfandel",NA,NA,93,93,39.65,1605.4,"R",NA
2017,"North Coast","Zinfandel",NA,NA,92,92,79.8,1755.55,"R",NA
